id;owner_id;document_id;event_id;direction_id;cms_id;cms_directory_name;transport_package_id;receipt_id;message_type_id;response_code;attemps;last_time_of_attemps;created_at;updated_at
1;42405;Automotive virtual Auto Loan Account;extranet Principal Tasty;19033;Fantastic;synthesizing leverage;61676;Multi-layered Intuitive;40135;35594;47430;2020-03-03;2020-03-04;2020-03-03
2;74462;Savings Account Brazil;Fish global Syrian Pound;5306;Computer;UAE Dirham Rand Money Market Account;66978;hacking;78298;63878;14789;2020-03-04;2020-03-03;2020-03-03
3;99219;Yuan Renminbi;Practical Fresh Shoes Internal;95297;Plain;Spain Bedfordshire;80840;lavender panel Producer;99648;90813;83825;2020-03-03;2020-03-03;2020-03-03
4;41168;convergence;azure Berkshire;97271;sensor;multi-byte Devolved;15200;Denmark XSS;56898;88422;53739;2020-03-04;2020-03-03;2020-03-04
5;32561;override metrics;Movies Upgradable;56415;Samoa Product;Rustic auxiliary;88223;Algerian Dinar orchid;48170;12273;81984;2020-03-03;2020-03-03;2020-03-03
6;6694;Producer Awesome;Ergonomic Plastic Shirt initiative;43006;red Electronics;Sports 3rd generation;51321;Tasty Steel Computer;33515;12470;198;2020-03-03;2020-03-04;2020-03-03
7;65937;SAS;Fundamental robust Avon;65083;access;Rubber leading-edge;38087;structure;67637;55451;67062;2020-03-03;2020-03-04;2020-03-03
8;57082;Grocery Louisiana;Shoes backing up;27591;Stream budgetary management synthesizing;Shoes Legacy;9411;global encompassing dynamic;52971;18576;24571;2020-03-03;2020-03-03;2020-03-03
9;71632;New York Unbranded Frozen Fish;compress;21719;Analyst eyeballs;North Korean Won payment;1511;Rustic Rubber Shoes Virgin Islands, British Indonesia;83853;35902;19999;2020-03-03;2020-03-03;2020-03-04
10;12142;IB Belarus;olive supply-chains;48799;Assurance;architect withdrawal Investor;27752;connect Vista;51813;77567;23197;2020-03-03;2020-03-03;2020-03-03
